Reporter;Austria;Belgium;Bulgaria;Cyprus;Czechia;Germany;Denmark;Estonia;Spain;Finland;France;Greece;Croatia;Hungary;Ireland;Italy;Lithuania;Luxembourg;Latvia;Malta;Netherlands;Poland;Portugal;Romania;Sweden;Slovenia;Slovakia;Intra-EU;Intra-EU27 (from 2020);Extra-EU;Extra-EU27 (from 2020)
Austria;---;0;2;0;4;9;2;0;0;0;0;0;3;10;0;43;0;0;---;---;1;0;0;6;0;9;5;94;94;35;35
Belgium;2;---;11;0;39;152;5;2;3;0;12;6;2;6;0;45;6;4;5;1;63;150;0;19;0;4;13;550;550;59;59
Bulgaria;0;0;---;0;0;0;0;---;0;---;0;5;---;---;0;0;---;---;---;0;0;0;---;1;0;0;---;7;7;0;0
Cyprus;---;0;0;---;---;---;---;---;0;---;---;2;---;---;---;0;---;---;---;---;0;---;---;0;---;---;---;2;2;0;0
Czechia;1;0;1;0;---;2;1;0;0;---;0;0;0;0;0;0;0;---;0;---;0;3;---;0;2;0;23;34;34;0;0
Germany;107;11;21;2;97;---;33;4;20;10;25;40;29;45;6;303;11;0;2;0;104;138;1;66;24;4;21;1125;1125;196;196
Denmark;3;2;4;0;2;180;---;4;6;1;17;11;7;3;0;102;9;0;8;0;9;145;0;9;11;0;8;540;540;399;399
Estonia;---;---;0;---;0;1;0;---;0;1;---;0;---;0;---;0;4;---;5;---;0;0;---;0;0;0;---;12;12;0;0
Spain;3;12;48;2;81;41;16;1;---;0;188;21;19;44;8;226;6;0;1;2;11;108;90;104;8;13;30;1084;1084;872;872
Finland;---;0;0;---;---;0;0;3;0;---;---;0;---;0;---;0;1;0;0;---;0;2;---;0;2;---;0;9;9;18;18
France;9;27;14;1;13;29;10;1;34;0;---;17;5;4;2;81;3;1;0;0;18;20;2;5;1;0;3;299;299;139;139
Greece;0;0;1;1;0;1;0;0;0;0;0;---;0;0;0;0;---;0;---;0;0;0;0;0;0;---;---;3;3;1;1
Croatia;0;---;0;0;0;0;0;---;0;---;---;---;---;0;0;0;0;---;0;0;0;0;---;0;0;4;0;5;5;7;7
Hungary;2;0;7;0;1;1;0;0;3;0;0;3;16;---;0;18;0;---;0;0;2;4;0;63;0;6;10;137;137;19;19
Ireland;---;1;0;0;2;12;8;0;0;0;2;0;0;0;---;0;1;0;0;---;1;8;0;0;5;0;0;41;41;115;115
Italy;2;3;3;0;3;3;1;0;9;0;4;0;1;3;0;---;0;0;0;1;1;2;0;5;0;4;1;47;47;13;13
Lithuania;0;0;0;---;0;0;0;1;0;0;0;---;0;0;0;0;---;---;4;---;0;1;---;0;0;0;0;7;7;0;0
Luxembourg;---;2;---;---;---;2;---;---;0;---;1;---;---;---;---;---;---;---;---;---;0;---;0;---;---;---;---;4;4;0;0
Latvia;---;---;0;---;0;0;0;3;---;0;0;0;---;---;0;0;4;---;---;---;0;0;---;---;0;---;---;8;8;0;0
Malta;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---;0;0
Netherlands;7;55;8;3;9;136;20;0;10;0;7;88;12;3;5;149;6;0;0;0;---;83;0;18;3;2;2;631;631;340;340
Poland;1;4;3;0;29;29;9;6;13;0;3;2;3;21;3;19;16;0;9;0;11;---;0;25;1;0;28;235;235;94;94
Portugal;---;0;0;0;0;1;1;0;15;0;2;0;---;---;0;0;0;0;---;0;0;1;---;0;0;---;---;22;22;10;10
Romania;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;---;0;---;---;1;0;0;---;0;0;0;3;3;0;0
Sweden;0;0;0;---;0;1;5;0;0;0;0;0;0;0;0;0;0;---;0;0;0;6;---;0;---;---;0;13;13;6;6
Slovenia;0;0;0;---;0;0;0;---;0;---;0;---;2;0;---;0;0;---;---;0;0;0;---;0;---;---;0;2;2;17;17
Slovakia;0;0;---;---;2;0;0;---;0;---;0;---;0;8;---;0;---;---;---;0;1;2;---;0;---;0;---;13;13;0;0
European Union (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004);136;117;125;10;282;600;110;27;115;12;261;196;98;147;24;988;68;5;34;4;224;674;94;323;57;46;145;4928;---;2342;---
European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK);136;117;125;10;282;600;110;27;115;12;261;196;98;147;24;988;68;5;34;4;224;674;94;323;57;46;145;---;4928;---;2342
