Reporter,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Croatia,Hungary,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia
Austria,---,0,2,0,4,9,2,0,0,0,0,0,3,10,0,43,0,0,---,---,1,0,0,6,0,9,5
Belgium,2,---,11,0,39,152,5,2,3,0,12,6,2,6,0,45,6,4,5,1,63,150,0,19,0,4,13
Bulgaria,0,0,---,0,0,0,0,---,0,---,0,5,---,---,0,0,---,---,---,0,0,0,---,1,0,0,---
Cyprus,---,0,0,---,---,---,---,---,0,---,---,2,---,---,---,0,---,---,---,---,0,---,---,0,---,---,---
Czechia,1,0,1,0,---,2,1,0,0,---,0,0,0,0,0,0,0,---,0,---,0,3,---,0,2,0,23
Germany,107,11,21,2,97,---,33,4,20,10,25,40,29,45,6,303,11,0,2,0,104,138,1,66,24,4,21
Denmark,3,2,4,0,2,180,---,4,6,1,17,11,7,3,0,102,9,0,8,0,9,145,0,9,11,0,8
Estonia,---,---,0,---,0,1,0,---,0,1,---,0,---,0,---,0,4,---,5,---,0,0,---,0,0,0,---
Spain,3,12,48,2,81,41,16,1,---,0,188,21,19,44,8,226,6,0,1,2,11,108,90,104,8,13,30
Finland,---,0,0,---,---,0,0,3,0,---,---,0,---,0,---,0,1,0,0,---,0,2,---,0,2,---,0
France,9,27,14,1,13,29,10,1,34,0,---,17,5,4,2,81,3,1,0,0,18,20,2,5,1,0,3
Greece,0,0,1,1,0,1,0,0,0,0,0,---,0,0,0,0,---,0,---,0,0,0,0,0,0,---,---
Croatia,0,---,0,0,0,0,0,---,0,---,---,---,---,0,0,0,0,---,0,0,0,0,---,0,0,4,0
Hungary,2,0,7,0,1,1,0,0,3,0,0,3,16,---,0,18,0,---,0,0,2,4,0,63,0,6,10
Ireland,---,1,0,0,2,12,8,0,0,0,2,0,0,0,---,0,1,0,0,---,1,8,0,0,5,0,0
Italy,2,3,3,0,3,3,1,0,9,0,4,0,1,3,0,---,0,0,0,1,1,2,0,5,0,4,1
Lithuania,0,0,0,---,0,0,0,1,0,0,0,---,0,0,0,0,---,---,4,---,0,1,---,0,0,0,0
Luxembourg,---,2,---,---,---,2,---,---,0,---,1,---,---,---,---,---,---,---,---,---,0,---,0,---,---,---,---
Latvia,---,---,0,---,0,0,0,3,---,0,0,0,---,---,0,0,4,---,---,---,0,0,---,---,0,---,---
Malta,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Netherlands,7,55,8,3,9,136,20,0,10,0,7,88,12,3,5,149,6,0,0,0,---,83,0,18,3,2,2
Poland,1,4,3,0,29,29,9,6,13,0,3,2,3,21,3,19,16,0,9,0,11,---,0,25,1,0,28
Portugal,---,0,0,0,0,1,1,0,15,0,2,0,---,---,0,0,0,0,---,0,0,1,---,0,0,---,---
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,---,---,1,0,0,---,0,0,0
Sweden,0,0,0,---,0,1,5,0,0,0,0,0,0,0,0,0,0,---,0,0,0,6,---,0,---,---,0
Slovenia,0,0,0,---,0,0,0,---,0,---,0,---,2,0,---,0,0,---,---,0,0,0,---,0,---,---,0
Slovakia,0,0,---,---,2,0,0,---,0,---,0,---,0,8,---,0,---,---,---,0,1,2,---,0,---,0,---
